2026-04-27 18:02:10.614 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:10.614663432
2026-04-27 18:02:10.614 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:10 GMT+08:00 2026
2026-04-27 18:02:10.618 [tp954928973-6327] WARN    com.silabs.java.utils.log.TopicLog - Saving project: BLE_MCU
2026-04-27 18:02:10.618 [tp954928973-6327] WARN    com.silabs.java.utils.log.TopicLog - Project Saved!: BLE_MCU
2026-04-27 18:02:10.619 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ucProject] to null
2026-04-27 18:02:10.624 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ucProject in project BLE_MCU. Elapsed time: 369ms
2026-04-27 18:02:10.624 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ucProject to project BLE_MCU: 18:02:10.624584119
2026-04-27 18:02:10.624 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ucProject in project BLE_MCU: Mon Apr 27 18:02:10 GMT+08:00 2026
2026-04-27 18:02:10.627 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 13ms
2026-04-27 18:02:10.747 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:10.748 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:10.748184828
2026-04-27 18:02:10.748 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:10 GMT+08:00 2026
2026-04-27 18:02:10.756 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 8ms
2026-04-27 18:02:10.875 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:10.875 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:10.875363356
2026-04-27 18:02:10.875 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:10 GMT+08:00 2026
2026-04-27 18:02:10.886 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 11ms
2026-04-27 18:02:10.993 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
